DATE,USD,JPY,CNY,SGD,MYR,HKD,PHP,IDR,AUD,VND
4/1/1960,35.8873,30.4497,5.1644,24.7855,7.9888,4.631,0.7224,2.6736,25.9644,0.5889
5/1/1960,35.7649,30.7317,5.1879,24.9003,7.9809,4.6129,0.7225,2.6842,26.0958,0.5926
6/1/1960,35.7053,30.8153,5.2077,24.9524,7.9774,4.606,0.7227,2.6879,26.1696,0.6017
9/1/1960,35.7545,30.5276,5.1935,24.8465,7.9919,4.6157,0.7223,2.689,26.1877,0.5994
10/1/1960,35.61,30.7702,5.169,24.8171,7.9639,4.5962,0.7207,2.681,26.2185,0.5922
11/1/1960,35.5731,30.6912,5.1557,24.7773,7.9561,4.59,0.7192,2.6911,26.2275,0.5914
12/1/1960,35.3615,30.7857,5.1292,24.7678,7.9356,4.5613,0.7148,2.665,26.3515,0.5919
13/1/1960,35.3984,30.7992,5.152,24.8069,7.9393,4.5708,0.7147,2.67,26.5074,0.5962
16/1/1960,35.4375,31.0258,5.1623,24.7958,7.9452,4.5687,0.7127,2.6756,26.5263,0.5945
17/1/1960,35.3954,31.0909,5.1571,24.7982,7.9282,4.5646,0.7106,2.6627,26.4984,0.5912
18/1/1960,35.2748,31.24,5.168,24.8623,7.9403,4.5494,0.7099,2.6527,26.6098,0.5938
19/1/1960,35.4016,30.8925,5.1789,24.7873,7.9615,4.5635,0.7113,2.6559,26.5896,0.5949
20/1/1960,35.3461,30.8263,5.1607,24.8094,7.952,4.5558,0.7085,2.6477,26.767,0.5905
23/1/1960,35.2881,31.0452,5.1677,24.8695,7.9461,4.5496,0.709,2.6492,26.7008,0.5915
24/1/1960,35.2216,31.1863,5.1607,24.8574,7.9481,4.5417,0.7072,2.6523,26.7152,0.5916
25/1/1960,35.2441,31.0248,5.156,24.8242,7.9482,4.5448,0.7083,2.6499,26.5847,0.595
26/1/1960,35.2016,31.0599,5.1456,24.9003,7.9502,4.5374,0.7084,2.6553,26.6393,0.5911
27/1/1960,35.3103,30.7429,5.1472,24.7685,7.9731,4.5507,0.7091,2.6538,26.5861,0.5848
30/1/1960,35.2653,30.8041,5.1404,24.7415,7.9604,4.5451,0.7083,2.6622,26.6432,0.5893
31/1/1960,35.1908,30.9773,5.1335,24.7806,7.9534,4.5378,0.7079,2.6479,26.6104,0.5872
1/2/1960,35.1484,31.0799,5.1324,24.8643,7.9356,4.5302,0.7067,2.6485,26.585,0.5842
2/2/1960,35.0962,31.0349,5.1284,24.8592,7.9201,4.5242,0.7053,2.6487,26.7761,0.5838
3/2/1960,35.0895,31.1094,5.1289,24.8459,7.9288,4.5236,0.7053,2.6456,26.8583,0.5908
6/2/1960,35.0203,31.151,5.1301,24.8791,7.9213,4.515,0.7056,2.6439,26.857,0.5934
7/2/1960,35.0288,31.3093,5.1282,24.7812,7.9032,4.5164,0.7068,2.6467,26.789,0.5945
8/2/1960,35.0379,31.2156,5.1152,24.7046,7.896,4.5167,0.7052,2.6491,26.7338,0.5893
9/2/1960,35.015,31.2057,5.1134,24.705,7.8913,4.5127,0.7036,2.6528,26.6995,0.5911
10/2/1960,35.0684,30.8413,5.114,24.6762,7.8931,4.5215,0.7031,2.6509,26.7817,0.5948
14/2/1960,35.0349,30.8587,5.1047,24.6629,7.8795,4.5155,0.7028,2.6448,26.8735,0.6043
15/2/1960,35.0291,30.6454,5.1099,24.6426,7.8755,4.5148,0.7026,2.6368,26.8602,0.6138
16/2/1960,35.0009,30.705,5.1118,24.6648,7.8744,4.5112,0.7021,2.6445,26.997,0.6122
17/2/1960,34.9957,30.8471,5.1118,24.6926,7.8556,4.5105,0.7018,2.6446,26.9524,0.6074
20/2/1960,34.9987,30.9819,5.108,24.6895,7.8546,4.5102,0.6983,2.6315,26.8355,0.5988
21/2/1960,35.0457,30.8827,5.1049,24.6645,7.8627,4.5167,0.6964,2.6398,26.8845,0.6045
22/2/1960,35.0085,30.8503,5.0989,24.6697,7.8562,4.5116,0.6972,2.639,26.904,0.6096
23/2/1960,34.9963,30.9075,5.1013,24.7248,7.8686,4.5106,0.6985,2.6381,26.8775,0.6032
24/2/1960,34.9727,30.9839,5.1019,24.8361,7.8634,4.5083,0.698,2.6354,26.947,0.6054
27/2/1960,34.8775,31.098,5.0863,24.8258,7.8478,4.4967,0.6949,2.647,26.7999,0.5963
28/2/1960,34.8819,30.9734,5.0887,24.8267,7.8521,4.4949,0.6957,2.6347,26.7865,0.6001
1/3/1960,34.9763,30.9061,5.1019,24.8753,7.869,4.5063,0.6964,2.6282,26.7986,0.599
2/3/1960,34.9902,30.7356,5.0981,24.8165,7.8773,4.5083,0.6966,2.6338,26.7892,0.6003
3/3/1960,35.0351,30.6985,5.0905,24.7973,7.8753,4.5169,0.6965,2.6284,26.4833,0.5959
6/3/1960,35.0251,30.7922,5.0875,24.8448,7.8653,4.5121,0.6969,2.6399,26.5401,0.6013
7/3/1960,35.0654,30.7762,5.0898,24.8491,7.8832,4.5173,0.6975,2.6455,26.629,0.6021
8/3/1960,35.1478,30.9146,5.0986,24.9328,7.9062,4.5269,0.6992,2.6423,26.6921,0.6042
9/3/1960,35.3151,30.8659,5.1107,24.9035,7.9282,4.5465,0.7021,2.6558,26.5726,0.5995
10/3/1960,35.3747,30.7125,5.1248,24.9183,7.9389,4.5555,0.7045,2.6527,26.5965,0.597
13/3/1960,35.2984,30.7631,5.1217,25.0097,7.9345,4.5465,0.7035,2.6549,26.6715,0.599
14/3/1960,35.3039,30.7367,5.1167,24.968,7.9419,4.547,0.7025,2.6585,26.6734,0.6002
15/3/1960,35.2735,30.7462,5.1123,24.9484,7.9298,4.5413,0.7022,2.6537,26.6799,0.5956
16/3/1960,35.0598,30.9605,5.096,24.9838,7.9042,4.5147,0.699,2.6398,26.9484,0.6001
17/3/1960,34.9573,30.8163,5.087,24.9246,7.8762,4.5035,0.6989,2.6434,26.8352,0.6046
20/3/1960,34.7117,30.8505,5.0378,24.8111,7.829,4.4698,0.693,2.6055,26.7759,0.607
21/3/1960,34.7161,30.853,5.0372,24.8384,7.8458,4.4707,0.6933,2.6149,26.787,0.6051
22/3/1960,34.7284,31.1089,5.0501,24.7829,7.8371,4.4714,0.6923,2.6187,26.616,0.6016
23/3/1960,34.6273,31.0683,5.0378,24.7364,7.8176,4.4581,0.6891,2.6128,26.5278,0.5993
24/3/1960,34.6666,31.1439,5.0414,24.7446,7.8279,4.4626,0.6889,2.6142,26.4358,0.6036
27/3/1960,34.4738,31.2516,5.0247,24.7135,7.8132,4.4401,0.6886,2.5994,26.2953,0.6054
28/3/1960,34.4107,31.1135,5.015,24.6943,7.8001,4.4323,0.6888,2.5972,26.2284,0.605
29/3/1960,34.5012,31.0456,5.0208,24.6961,7.8093,4.4424,0.6878,2.595,26.3815,0.6049
30/3/1960,34.4878,30.999,5.0159,24.716,7.8065,4.439,0.6877,2.5978,26.4401,0.6093
31/3/1960,34.4501,30.772,5.0069,24.654,7.792,4.4337,0.687,2.5985,26.3511,0.6141
3/4/1960,34.3069,30.8106,4.9936,24.575,7.7555,4.4156,0.6848,2.5834,26.1396,0.6098
4/4/1960,34.3894,31.1004,5.0051,24.6218,7.7685,4.4257,0.6859,2.5886,26.1196,0.6133
5/4/1960,34.5009,31.1601,5.0159,24.6755,7.8035,4.4403,0.688,2.5985,26.1184,0.6152
7/4/1960,34.6138,31.3276,5.0224,24.6839,7.8045,4.4545,0.6905,2.5993,26.062,0.6139
10/4/1960,34.6423,31.0829,5.0233,24.6215,7.8277,4.459,0.6949,2.6165,25.9738,0.6051
11/4/1960,34.6024,31.2635,5.0151,24.6198,7.8052,4.4531,0.6968,2.6189,25.9741,0.6044
12/4/1960,34.5301,31.5352,5.012,24.6289,7.8182,4.4445,0.6972,2.6095,25.8904,0.6068
17/4/1960,34.2862,31.66,4.988,24.5884,7.7886,4.4125,0.6944,2.5993,26.0036,0.6086
18/4/1960,34.3858,31.5428,5.002,24.6014,7.8183,4.4248,0.6947,2.5956,26.0171,0.6151
19/4/1960,34.3248,31.6207,4.9935,24.5808,7.803,4.4154,0.6928,2.5919,25.8766,0.6102
20/4/1960,34.3812,31.5645,4.9999,24.5981,7.8132,4.422,0.6919,2.5964,25.8141,0.608
21/4/1960,34.415,31.498,5.0078,24.6218,7.8338,4.4263,0.6919,2.6011,25.9032,0.6125
24/4/1960,34.3603,31.2354,4.9973,24.6456,7.8127,4.4192,0.6905,2.5891,25.966,0.6086
25/4/1960,34.3741,31.2574,4.9968,24.6733,7.8344,4.4185,0.6914,2.6024,25.9848,0.6165
26/4/1960,34.4271,30.9513,5.0015,24.716,7.8889,4.425,0.6941,2.6054,25.9019,0.6133
27/4/1960,34.5057,31.0196,5.0062,24.7316,7.9338,4.4346,0.6933,2.5978,25.8153,0.6041
28/4/1960,34.6251,31.1504,5.0224,24.799,7.9586,4.4501,0.6936,2.6102,25.8722,0.6073
2/5/1960,34.5485,30.8676,5.015,24.7741,7.9807,4.4415,0.6909,2.6056,26.0434,0.6063
3/5/1960,34.4461,30.744,5.0041,24.7283,7.9828,4.4278,0.6902,2.6061,25.9092,0.604
4/5/1960,34.5892,30.6651,5.0224,24.7487,7.9977,4.4458,0.6932,2.6101,25.6512,0.6029
5/5/1960,34.6141,30.7799,5.0243,24.7065,7.9868,4.4489,0.6946,2.6024,25.5886,0.5929
8/5/1960,34.6608,30.7449,5.0279,24.6782,8.0004,4.453,0.6955,2.6074,25.6497,0.5983
9/5/1960,34.6843,30.6127,5.0242,24.6602,7.9966,4.4561,0.6955,2.6151,25.5471,0.5948
11/5/1960,34.7812,30.47,5.038,24.6563,8.0034,4.4672,0.6971,2.6193,25.5787,0.6055
12/5/1960,34.7192,30.5107,5.0313,24.6568,7.9953,4.4571,0.6965,2.6268,25.6155,0.6084
15/5/1960,34.6206,30.5275,5.0235,24.6752,7.9862,4.443,0.6968,2.6151,25.6118,0.6069
16/5/1960,34.485,30.3778,5.0078,24.6821,7.9913,4.4298,0.6953,2.5963,25.5925,0.6118
17/5/1960,34.4803,30.6211,5.019,24.7232,7.9871,4.4279,0.6943,2.6025,25.5817,0.6092
18/5/1960,34.4975,31.0613,5.0177,24.7926,7.9738,4.4314,0.6928,2.6104,25.65,0.6041
19/5/1960,34.5269,31.0458,5.0176,24.792,7.9741,4.4367,0.6929,2.5969,25.6179,0.5999
22/5/1960,34.3626,30.8509,4.9968,24.7711,7.9764,4.4148,0.6907,2.5898,25.5756,0.6033
23/5/1960,34.3707,30.9351,4.9979,24.7879,8.0037,4.4146,0.6917,2.5938,25.724,0.6069
24/5/1960,34.465,30.8147,5.0144,24.7876,8.0084,4.4261,0.6908,2.6046,25.7314,0.6116
25/5/1960,34.26,30.696,4.9893,24.7653,8.0105,4.3997,0.6877,2.5778,25.6977,0.6068
26/5/1960,34.0861,30.5267,4.9776,24.6056,7.9689,4.375,0.6841,2.5797,25.3759,0.5989
29/5/1960,34.09,30.6188,4.9902,24.6314,7.9836,4.3746,0.6854,2.5844,25.3627,0.6032
30/5/1960,34.136,30.77,4.9946,24.612,7.976,4.3806,0.6859,2.569,25.3575,0.6043
31/5/1960,34.0987,30.7327,5.0004,24.6208,7.9739,4.3775,0.6855,2.5665,25.4298,0.6027
1/6/1960,34.1015,30.7472,5.0366,24.6326,7.9556,4.3778,0.686,2.5657,25.2956,0.6023
2/6/1960,34.1907,30.6385,5.0363,24.6656,7.9828,4.3882,0.6887,2.5759,25.244,0.606
5/6/1960,34.0449,30.8062,5.0176,24.6487,7.9749,4.3706,0.6902,2.5689,25.3462,0.601
6/6/1960,33.9962,30.9267,5.0132,24.6324,7.9827,4.3627,0.6898,2.5683,25.4097,0.6005
7/6/1960,33.9986,31.0381,5.0176,24.6269,7.9675,4.3623,0.6875,2.5639,25.5718,0.6012
8/6/1960,34.0408,31.0144,5.0242,24.6274,7.9792,4.3674,0.6883,2.5797,25.672,0.5964
